,hour,occupancy
580,2016-02-25 04:00:00,60.0
581,2016-02-25 05:00:00,223.0
582,2016-02-25 06:00:00,762.0
583,2016-02-25 07:00:00,1461.0
584,2016-02-25 08:00:00,1977.0
585,2016-02-25 09:00:00,2145.0
586,2016-02-25 10:00:00,2172.0
587,2016-02-25 11:00:00,2169.0
588,2016-02-25 12:00:00,2124.0
589,2016-02-25 13:00:00,2138.0
590,2016-02-25 14:00:00,2090.0
591,2016-02-25 15:00:00,2017.0
592,2016-02-25 16:00:00,1799.0
593,2016-02-25 17:00:00,1223.0
594,2016-02-25 18:00:00,605.0
595,2016-02-25 19:00:00,249.0
596,2016-02-25 20:00:00,141.0
597,2016-02-25 21:00:00,99.0
598,2016-02-25 22:00:00,74.0
599,2016-02-25 23:00:00,52.0
600,2016-02-26 00:00:00,43.0
601,2016-02-26 01:00:00,41.0
602,2016-02-26 02:00:00,41.0
603,2016-02-26 03:00:00,38.0
604,2016-02-26 04:00:00,50.0
605,2016-02-26 05:00:00,137.0
606,2016-02-26 06:00:00,457.0
607,2016-02-26 07:00:00,965.0
608,2016-02-26 08:00:00,1415.0
609,2016-02-26 09:00:00,1555.0
610,2016-02-26 10:00:00,1584.0
611,2016-02-26 11:00:00,1580.0
612,2016-02-26 12:00:00,1475.0
613,2016-02-26 13:00:00,1389.0
614,2016-02-26 14:00:00,1300.0
615,2016-02-26 15:00:00,1158.0
616,2016-02-26 16:00:00,873.0
617,2016-02-26 17:00:00,510.0
618,2016-02-26 18:00:00,228.0
619,2016-02-26 19:00:00,116.0
620,2016-02-26 20:00:00,81.0
621,2016-02-26 21:00:00,66.0
622,2016-02-26 22:00:00,54.0
623,2016-02-26 23:00:00,40.0
624,2016-02-27 00:00:00,34.0
625,2016-02-27 01:00:00,32.0
626,2016-02-27 02:00:00,32.0
627,2016-02-27 03:00:00,32.0
628,2016-02-27 04:00:00,32.0
629,2016-02-27 05:00:00,37.0
630,2016-02-27 06:00:00,46.0
631,2016-02-27 07:00:00,55.0
632,2016-02-27 08:00:00,65.0
633,2016-02-27 09:00:00,83.0
634,2016-02-27 10:00:00,91.0
635,2016-02-27 11:00:00,97.0
636,2016-02-27 12:00:00,91.0
637,2016-02-27 13:00:00,86.0
638,2016-02-27 14:00:00,75.0
639,2016-02-27 15:00:00,73.0
640,2016-02-27 16:00:00,68.0
641,2016-02-27 17:00:00,60.0
642,2016-02-27 18:00:00,53.0
643,2016-02-27 19:00:00,44.0
644,2016-02-27 20:00:00,43.0
645,2016-02-27 21:00:00,40.0
646,2016-02-27 22:00:00,38.0
647,2016-02-27 23:00:00,33.0
648,2016-02-28 00:00:00,32.0
649,2016-02-28 01:00:00,30.0
650,2016-02-28 02:00:00,31.0
651,2016-02-28 03:00:00,31.0
652,2016-02-28 04:00:00,30.0
653,2016-02-28 05:00:00,30.0
654,2016-02-28 06:00:00,32.0
655,2016-02-28 07:00:00,38.0
656,2016-02-28 08:00:00,51.0
657,2016-02-28 09:00:00,76.0
658,2016-02-28 10:00:00,126.0
659,2016-02-28 11:00:00,134.0
660,2016-02-28 12:00:00,135.0
661,2016-02-28 13:00:00,135.0
662,2016-02-28 14:00:00,104.0
663,2016-02-28 15:00:00,73.0
664,2016-02-28 16:00:00,65.0
665,2016-02-28 17:00:00,54.0
666,2016-02-28 18:00:00,47.0
667,2016-02-28 19:00:00,44.0
668,2016-02-28 20:00:00,41.0
669,2016-02-28 21:00:00,38.0
670,2016-02-28 22:00:00,35.0
671,2016-02-28 23:00:00,34.0
672,2016-02-29 00:00:00,29.0
673,2016-02-29 01:00:00,27.0
674,2016-02-29 02:00:00,27.0
675,2016-02-29 03:00:00,28.0
676,2016-02-29 04:00:00,53.0
677,2016-02-29 05:00:00,203.0
678,2016-02-29 06:00:00,705.0
679,2016-02-29 07:00:00,1363.0
680,2016-02-29 08:00:00,1841.0
681,2016-02-29 09:00:00,1978.0
682,2016-02-29 10:00:00,2001.0
683,2016-02-29 11:00:00,2017.0
684,2016-02-29 12:00:00,1983.0
685,2016-02-29 13:00:00,2006.0
686,2016-02-29 14:00:00,1983.0
687,2016-02-29 15:00:00,1928.0
688,2016-02-29 16:00:00,1738.0
689,2016-02-29 17:00:00,1172.0
690,2016-02-29 18:00:00,559.0
691,2016-02-29 19:00:00,233.0
692,2016-02-29 20:00:00,123.0
693,2016-02-29 21:00:00,86.0
694,2016-02-29 22:00:00,62.0
695,2016-02-29 23:00:00,45.0
